idx,shl_idf_cd,school_name,sido,gugun,crse_cd,확인여부,상태,총파일수,교육과정파일수,파일목록,저장폴더
1,3ff1adcc-33d2-42b6-908c-83c38614b136,제천상업고등학교,충청북도,제천시,04,Y,ok,3,3,2026학년도 3개 학년 교육과정 편제표(전학과).hwp | 2026학년도 입학생 교육과정 편제표(제천상고).xlsx | 2025학년도 입학생 교육과정 편제표(제천상업고)_능력단위전체_26.2.변경.xlsx,D:\project\MAPS\curriculum_files\충청북도\제천상업고등학교
2,2b0ae8b7-611f-4ecc-8969-8d482d40c51f,일신여자고등학교,충청북도,청주시 상당구,04,Y,ok,1,0,2026학년도 일신여고 연간학사일정.hwpx,D:\project\MAPS\curriculum_files\충청북도\일신여자고등학교
3,9e80c657-815b-4f10-b4b8-758618298091,산남고등학교,충청북도,청주시 서원구,04,Y,no_file,0,0,,
4,6c4dfed3-b851-466d-be4f-8ab4be171d0c,오창고등학교,충청북도,청주시 청원구,04,Y,no_file,0,0,,
5,7b6164bf-cfb8-404d-ba8f-e2868c43edf2,영동고등학교,충청북도,영동군,04,Y,ok,2,1,2026학년도 영동고 연간 학사 일정.pdf | 학교교육과정 편성·운영·평가계획.hwp,D:\project\MAPS\curriculum_files\충청북도\영동고등학교
6,7bd4db2d-7e53-49f4-802b-c2786acdd4d0,영동미래고등학교,충청북도,영동군,04,Y,no_file,0,0,,
7,75ed509f-324d-4523-a4f5-959471a3991c,진천상업고등학교,충청북도,진천군,04,Y,no_file,0,0,,
8,c3918940-a4c8-4c3a-9e97-fea145f65916,진천고등학교,충청북도,진천군,04,Y,no_file,0,0,,
9,b277f9a9-2933-424f-9870-043119f35c36,광명고등학교,경기도,광명시,04,Y,ok,3,1,2026학년도 광명고 학사일정 .pdf | 2025년 광명고 학교평가 결과보고서.pdf | 2026학년도 광명고 학교교육과정 편성 운영 평가 계획.pdf,D:\project\MAPS\curriculum_files\경기도\광명고등학교
10,3838560c-2da3-4f2a-8dd6-d75f77169490,광명북고등학교,경기도,광명시,04,Y,ok,1,0,2026학년도 학사일정.pdf,D:\project\MAPS\curriculum_files\경기도\광명북고등학교
11,1aedcc3e-e59f-4b4d-9ad9-0c0ac0ac1c4c,창의경영고등학교,경기도,광명시,04,Y,ok,1,1,2026학년도 학교교육과정 운영계획서(정보공시).pdf,D:\project\MAPS\curriculum_files\경기도\창의경영고등학교
12,67e83753-5deb-41a0-9c12-2e21fc4a440c,소하고등학교,경기도,광명시,04,Y,ok,3,2,2026학년도 학사일정.hwp | 2025 일반고 입학생 교육과정 편성표(소하고).xls | 2026 일반고 입학생 교육과정 편성표(소하고).xls,D:\project\MAPS\curriculum_files\경기도\소하고등학교
13,80d97ae8-b6e2-4811-af3a-e7f7f6f94f6b,충현고등학교,경기도,광명시,04,Y,ok,1,1,2026학년도 학교교육과정 운영계획(안)-개인정보 처리.hwp,D:\project\MAPS\curriculum_files\경기도\충현고등학교
14,a16419c3-ac41-4ff6-af42-1eae6166a332,광휘고등학교,경기도,광명시,04,Y,ok,2,1,"2026학년도 광휘고등학교 교육과정 편성, 운영, 평가 계획.hwp | 2026학년도 광휘고 학사 일정.xlsx",D:\project\MAPS\curriculum_files\경기도\광휘고등학교
15,19e9abd7-bab9-4926-a8b4-dfea7cd3f7db,운산고등학교,경기도,광명시,04,Y,no_file,0,0,,
16,ec3506b6-67cb-4650-8266-166e8417106b,은혜고등학교,경기도,평택시,04,Y,no_file,0,0,,
17,23f739fc-d22b-49f8-9f52-c4b091f865cb,태광고등학교,경기도,평택시,04,Y,ok,4,3,"2026학년도 학사일정 및 창체, SLAT(발송용).hwp | 2026학년도 입학생 교육과정 편제표_태광고 (공시).pdf | 2025학년도 입학생 교육과정 편제표_태광고 (공시).pdf | 2024학년도 입학생 교육과정 편제표 (공시).pdf",D:\project\MAPS\curriculum_files\경기도\태광고등학교
18,869ea306-bdde-48f1-bafb-fca48624cd16,평택여자고등학교,경기도,평택시,04,Y,ok,1,1,2026학년도 평택여고 학교교육과정 편성운영평가 계획.pdf,D:\project\MAPS\curriculum_files\경기도\평택여자고등학교
19,01c96bf8-9638-477f-951a-8c73f9d26317,안중고등학교,경기도,평택시,04,Y,no_file,0,0,,
20,994bdf47-46fa-4e57-90f4-3cb1817935b2,현화고등학교,경기도,평택시,04,Y,ok,1,0,2026학년도 현화고 학사일정(안).pdf,D:\project\MAPS\curriculum_files\경기도\현화고등학교
21,fe2ae495-e1a2-47a9-80b8-bd5d2815b928,동두천외국어고등학교,경기도,동두천시,04,Y,no_file,0,0,,
22,c6ae475d-1c98-493f-936a-eb0244b12687,동두천중앙고등학교,경기도,동두천시,04,Y,ok,1,1,2026 학교교육과정 운영 계획서.pdf,D:\project\MAPS\curriculum_files\경기도\동두천중앙고등학교
23,d2cea9b3-1151-4015-ade4-967228d6da78,신길고등학교,경기도,안산시 단원구,04,Y,ok,1,1,2026학년도 신길고 학교교육과정 편성·운영·평가 계획.pdf,D:\project\MAPS\curriculum_files\경기도\신길고등학교
