type,seq,status
major,309,skip
major,458,skip
major,10027,skip
major,20,ok
major,10030,ok
major,10156,ok
major,449,ok
major,340,ok
major,245,ok
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,309,skip
major,458,skip
major,10027,skip
major,20,skip
major,10030,skip
major,10156,skip
major,449,skip
major,340,skip
major,245,skip
major,502,ok
major,503,ok
major,437,ok
major,660,ok
major,49,ok
major,622,ok
major,10041,ok
major,613,ok
major,10043,ok
major,128,ok
major,33,ok
major,386,ok
major,574,ok
major,339,ok
major,658,ok
major,439,ok
major,341,ok
major,653,ok
major,652,ok
major,606,ok
major,523,ok
major,494,ok
major,21016,ok
major,190,ok
major,21010,ok
major,654,ok
major,21023,ok
major,505,ok
major,10117,ok
major,21027,ok
major,250,ok
major,149,ok
major,532,ok
major,568,ok
major,21,ok
major,558,ok
major,148,ok
major,541,ok
major,322,ok
major,246,ok
major,10025,ok
major,607,ok
major,69,ok
major,10154,ok
major,70,ok
major,50,ok
major,432,ok
major,456,ok
major,351,ok
major,493,ok
major,318,ok
major,646,ok
major,240,ok
major,10029,ok
major,10021,ok
major,376,ok
major,10024,ok
major,253,ok
major,10,ok
major,582,ok
major,303,ok
major,352,ok
major,10045,ok
major,423,ok
major,10146,ok
major,10144,ok
major,333,ok
major,226,ok
major,21001,ok
major,10026,ok
major,550,ok
major,377,ok
major,21020,ok
major,332,ok
major,45,ok
major,644,ok
major,643,ok
major,567,ok
major,542,ok
major,540,ok
major,10035,ok
major,393,ok
major,375,ok
major,220,ok
major,143,ok
major,10148,ok
major,22,ok
major,10143,ok
major,639,ok
major,630,ok
major,228,ok
major,214,ok
major,27,ok
major,492,ok
major,181,ok
major,243,ok
major,533,ok
major,117,ok
major,373,ok
major,10007,ok
major,334,ok
major,103,ok
major,203,ok
major,75,ok
major,10141,ok
major,394,ok
major,21009,ok
major,72,ok
