type,id,name,kw1,kw2,kw3,kw4,kw5,kw6,kw7,kw8,kw9,kw10,kw11,kw12,kw13,kw14,kw15,kw16,kw17,kw18,kw19,kw20
직업,10113,지능형 로봇개발자,로봇,지능,인공지능,알고리즘,개발,로봇개발자,로봇공학,이동,개발자,IT,프로젝트,제작,취업,인간,산업알고리즘미래,캡스톤,뇌구조,전산공학,보빌맅,댜양한
직업,10114,우주전파예보관,우주,우주전파,흑점,우주과학,인공위성,태양활동,태양,천문학,관측,전파,신호,예측,해석,데이터,취업,활동,전자전파공학,태양전파,연구조원,천문학태양나사미래
직업,10115,디지털 헬스케어 기기 개발자,헬스케어,디지털,기기,의료,의료기기,개발자,스마트,코딩,개발,참여,시험,인공지능,병원,데이터,동아리,서비스,기술,의료A,의료고령,헬스기기
직업,10116,신소재 개발 연구원,신소재,소재,실험,연구원,재료공학,기업체,연구소,개발,과학,특성,호기심,복합소재,재료공학자,산업재료공학나노,세라믹공학,발명,분자공학,신소재공학,금속공학,세라믹
직업,10117,인공지능 엔지니어,인공지능,데이터,모델,수학,알고리즘,엔지니어,학습,통계학,AI,예측,로봇,기반,응용소프트웨어개발자,응용소프트웨어학,카이오,인공지능연구원,인공지능학,채용시험,기술전문,학습모델
직업,10118,데이터 라벨러,데이터,라벨러,라벨,인공지능,라벨링,표식,플랫폼,입력,작업,자동차,사물,학습,수집,마우스,재택근무,박스,짜증,크라우드웍스,네모,초보자
직업,10112,스마트공장 기술자,공장,스마트,설비,스마트공장,로봇,운용,체험,전기전자공학,통신공학,기계공학,시스템,설치,기술자,컴퓨터공학,설계,대학,검토,협업,설계사,기술규격
직업,10111,핀테크 전문가,핀테크,서비스,고객사,정보기술,금융,운영,기술,뱅킹,에반젤리스트,송금,텔레뱅킹,니즈,금융정보공학,시스템,대출,직면,결제,적용,공개채용,경영정보학
직업,10110,양자 컴퓨팅 기술자,양자,컴퓨터,컴퓨팅,하드웨어,계산,기술자,기술,행사,운용,물리학,대학,소프트웨어,입체,대학원,개발,전자컴퓨터공학,공학자,큐비트슈퍼컴퓨터,큐비트,qubits
직업,10113,지능형 로봇개발자,로봇,지능,인공지능,알고리즘,개발,로봇개발자,로봇공학,이동,개발자,IT,프로젝트,제작,취업,인간,산업알고리즘미래,캡스톤,뇌구조,전산공학,보빌맅,댜양한
직업,10114,우주전파예보관,우주,우주전파,흑점,우주과학,인공위성,태양활동,태양,천문학,관측,전파,신호,예측,해석,데이터,취업,활동,전자전파공학,태양전파,연구조원,천문학태양나사미래
직업,10115,디지털 헬스케어 기기 개발자,헬스케어,디지털,기기,의료,의료기기,개발자,스마트,코딩,개발,참여,시험,인공지능,병원,데이터,동아리,서비스,기술,의료A,의료고령,헬스기기
직업,10116,신소재 개발 연구원,신소재,소재,실험,연구원,재료공학,기업체,연구소,개발,과학,특성,호기심,복합소재,재료공학자,산업재료공학나노,세라믹공학,발명,분자공학,신소재공학,금속공학,세라믹
직업,10117,인공지능 엔지니어,인공지능,데이터,모델,수학,알고리즘,엔지니어,학습,통계학,AI,예측,로봇,기반,응용소프트웨어개발자,응용소프트웨어학,카이오,인공지능연구원,인공지능학,채용시험,기술전문,학습모델
직업,10118,데이터 라벨러,데이터,라벨러,라벨,인공지능,라벨링,표식,플랫폼,입력,작업,자동차,사물,학습,수집,마우스,재택근무,박스,짜증,크라우드웍스,네모,초보자
직업,10112,스마트공장 기술자,공장,스마트,설비,스마트공장,로봇,운용,체험,전기전자공학,통신공학,기계공학,시스템,설치,기술자,컴퓨터공학,설계,대학,검토,협업,설계사,기술규격
직업,10111,핀테크 전문가,핀테크,서비스,고객사,정보기술,금융,운영,기술,뱅킹,에반젤리스트,송금,텔레뱅킹,니즈,금융정보공학,시스템,대출,직면,결제,적용,공개채용,경영정보학
직업,10110,양자 컴퓨팅 기술자,양자,컴퓨터,컴퓨팅,하드웨어,계산,기술자,기술,행사,운용,물리학,대학,소프트웨어,입체,대학원,개발,전자컴퓨터공학,공학자,큐비트슈퍼컴퓨터,큐비트,qubits
직업,10113,지능형 로봇개발자,로봇,지능,인공지능,알고리즘,개발,로봇개발자,로봇공학,이동,개발자,IT,프로젝트,제작,취업,인간,산업알고리즘미래,캡스톤,뇌구조,전산공학,보빌맅,댜양한
