id,name,관련학과,관련자격
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
10112,스마트공장 기술자,전기전자공학과기계공학과메카트로닉스공학과정보통신공학과컴퓨터공학과응용소프트웨어공학과,"정보처리기사,자동화설비산업기사"
10111,핀테크 전문가,경영학과경영정보학과회계학과IT융합학과응용소프트웨어공학과컴퓨터공학과,"정보처리기사,정보관리기술사,컴퓨터시스템응용기술사,사무자동화산업기사"
10110,양자 컴퓨팅 기술자,전자공학과컴퓨터공학과물리학과수학과,
10113,지능형 로봇개발자,기계공학과전자공학과제어계측공학과메카트로닉스공학과,"로봇기구개발기사,로봇소프트웨어개발기사,로봇하드웨어개발기사"
10114,우주전파예보관,우주과학과전자공학과천문학과,
10115,디지털 헬스케어 기기 개발자,전기전자공학과컴퓨터공학과정보통신공학과응용소프트웨어공학과,
10116,신소재 개발 연구원,재료공학과신소재공학과화학공학과금속공학과세라믹공학과고분자공학과물리학과,
10117,인공지능 엔지니어,컴퓨터공학과전자공학과응용소프트웨어공학과수학과통계학과,
10118,데이터 라벨러,,데이터분석
