school_name,shl_idf_cd,shl_cd,crse_cd,sido,gugun,sido_code,gugun_code,found,addr
제천상업고등학교,3ff1adcc-33d2-42b6-908c-83c38614b136,M100000194,04,충청북도,제천시,4300000000,4315000000,공립,충청북도 제천시 신백동
일신여자고등학교,2b0ae8b7-611f-4ecc-8969-8d482d40c51f,M100000187,04,충청북도,청주시 상당구,4300000000,4311000000,사립,충청북도 청주시 상당구 탑동
산남고등학교,9e80c657-815b-4f10-b4b8-758618298091,M100001916,04,충청북도,청주시 서원구,4300000000,4311000000,공립,충청북도 청주시 서원구 산남동
오창고등학교,6c4dfed3-b851-466d-be4f-8ab4be171d0c,M100000176,04,충청북도,청주시 청원구,4300000000,4311000000,공립,충청북도 청주시 청원구 오창읍 괴정리
영동고등학교,7b6164bf-cfb8-404d-ba8f-e2868c43edf2,M100000168,04,충청북도,영동군,4300000000,4374000000,공립,충청북도 영동군 영동읍 계산리
영동미래고등학교,7bd4db2d-7e53-49f4-802b-c2786acdd4d0,M100000173,04,충청북도,영동군,4300000000,4374000000,사립,충청북도 영동군 영동읍 계산리
진천상업고등학교,75ed509f-324d-4523-a4f5-959471a3991c,M100000207,04,충청북도,진천군,4300000000,4375000000,공립,충청북도 진천군 진천읍 신정리
진천고등학교,c3918940-a4c8-4c3a-9e97-fea145f65916,M100000204,04,충청북도,진천군,4300000000,4375000000,공립,충청북도 진천군 진천읍 신정리
광명고등학교,b277f9a9-2933-424f-9870-043119f35c36,J100000482,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 철산동
광명북고등학교,3838560c-2da3-4f2a-8dd6-d75f77169490,J100000484,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 철산동
창의경영고등학교,1aedcc3e-e59f-4b4d-9ad9-0c0ac0ac1c4c,J100000488,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 소하동
소하고등학교,67e83753-5deb-41a0-9c12-2e21fc4a440c,J100000632,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 소하동
충현고등학교,80d97ae8-b6e2-4811-af3a-e7f7f6f94f6b,J100000820,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 소하동
광휘고등학교,a16419c3-ac41-4ff6-af42-1eae6166a332,J100006645,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 소하동
운산고등학교,19e9abd7-bab9-4926-a8b4-dfea7cd3f7db,J100005798,04,경기도,광명시,4100000000,4121000000,공립,경기도 광명시 소하동
은혜고등학교,ec3506b6-67cb-4650-8266-166e8417106b,J100000755,04,경기도,평택시,4100000000,4122000000,사립,경기도 평택시 장안동
태광고등학교,23f739fc-d22b-49f8-9f52-c4b091f865cb,J100000821,04,경기도,평택시,4100000000,4122000000,사립,경기도 평택시 신장동
평택여자고등학교,869ea306-bdde-48f1-bafb-fca48624cd16,J100000840,04,경기도,평택시,4100000000,4122000000,공립,경기도 평택시 세교동
안중고등학교,01c96bf8-9638-477f-951a-8c73f9d26317,J100000701,04,경기도,평택시,4100000000,4122000000,사립,경기도 평택시 안중읍 현화리
현화고등학교,994bdf47-46fa-4e57-90f4-3cb1817935b2,J100005290,04,경기도,평택시,4100000000,4122000000,공립,경기도 평택시 안중읍 현화리
동두천외국어고등학교,fe2ae495-e1a2-47a9-80b8-bd5d2815b928,J100005168,04,경기도,동두천시,4100000000,4125000000,공립,경기도 동두천시 지행동
동두천중앙고등학교,c6ae475d-1c98-493f-936a-eb0244b12687,J100000539,04,경기도,동두천시,4100000000,4125000000,공립,경기도 동두천시 지행동
신길고등학교,d2cea9b3-1151-4015-ade4-967228d6da78,J100005674,04,경기도,안산시 단원구,4100000000,4127000000,공립,경기도 안산시 단원구 신길동
초지고등학교,f132fc5b-adea-42f7-9cb1-0ae853e22f02,J100000819,04,경기도,안산시 단원구,4100000000,4127000000,공립,경기도 안산시 단원구 초지동
대부고등학교,4b2bd028-8c2a-4b75-b1ba-ee2584cb38bf,J100000524,04,경기도,안산시 단원구,4100000000,4127000000,공립,경기도 안산시 단원구 대부북동
장안고등학교,1da0c262-fb48-441a-99d2-9c42c091c3c5,J100000779,04,경기도,수원시 장안구,4100000000,4111000000,공립,경기도 수원시 장안구 정자동
수성고등학교,1f40a4ba-b9b7-4c9f-a80a-a70adaf307a2,J100000641,04,경기도,수원시 장안구,4100000000,4111000000,공립,경기도 수원시 장안구 정자동
수성고등학교부설방송통신고등학교,0491f38a-febd-4ed3-bcc8-bffc5667eb6b,J100000642,04,경기도,수원시 장안구,4100000000,4111000000,공립,경기도 수원시 장안구 정자동
대평고등학교,42380cbf-dc8b-4458-aaca-250a8006f4fe,J100000527,04,경기도,수원시 장안구,4100000000,4111000000,공립,경기도 수원시 장안구 정자동
이의고등학교,08262c74-65c9-4825-a5bd-1a13ab56463e,J100006813,04,경기도,수원시 영통구,4100000000,4111000000,공립,경기도 수원시 영통구 하동
경민비즈니스고등학교,d6336780-3ee4-4d6c-8b12-410310d2ca16,J100000453,04,경기도,의정부시,4100000000,4115000000,사립,경기도 의정부시 가능동
경민IT고등학교,8e8a3131-59b0-4648-8c32-d98e0fec8bad,J100000455,04,경기도,의정부시,4100000000,4115000000,사립,경기도 의정부시 가능동
경민고등학교,94b02707-854b-4839-a52c-634f68d0caf0,J100000451,04,경기도,의정부시,4100000000,4115000000,사립,경기도 의정부시 가능동
한국모빌리티고등학교,54ba6446-1071-4afc-a300-243e5769be2d,J100000757,04,경기도,의정부시,4100000000,4115000000,공립,경기도 의정부시 가능동
의정부광동고등학교,d707a7c3-09fd-434e-8168-54d1dbe38067,J100000480,04,경기도,의정부시,4100000000,4115000000,사립,경기도 의정부시 가능동
의정부여자고등학교,49adf7b6-9e05-403b-bacd-1b5d7bdf2efb,J100000758,04,경기도,의정부시,4100000000,4115000000,공립,경기도 의정부시 가능동
의정부고등학교,e73cf6eb-0019-4821-beca-df16f2df1fc6,J100000756,04,경기도,의정부시,4100000000,4115000000,공립,경기도 의정부시 가능동
평촌경영고등학교,9f97028f-a525-4968-81ed-d14c587ce9d8,J100000836,04,경기도,안양시 동안구,4100000000,4117000000,공립,경기도 안양시 동안구 관양동
관양고등학교,0836526a-cee0-4c46-9b9b-6baf1821264a,J100000477,04,경기도,안양시 동안구,4100000000,4117000000,공립,경기도 안양시 동안구 관양동
인덕원고등학교,592e7d26-cd95-4633-9ed8-d66bf8dbb6fe,J100004905,04,경기도,안양시 동안구,4100000000,4117000000,공립,경기도 안양시 동안구 관양동
과천여자고등학교,63d39a49-914c-4009-9764-3c05fcbc8181,J100000473,04,경기도,과천시,4100000000,4129000000,사립,경기도 과천시 중앙동
과천외국어고등학교,81db413f-6a40-4fd2-9f54-dcd309639ad1,J100000474,04,경기도,과천시,4100000000,4129000000,사립,경기도 과천시 중앙동
갈매고등학교,59df990c-e610-4658-94a1-0964d5d287e4,J100006906,04,경기도,구리시,4100000000,4131000000,공립,경기도 구리시 갈매동
인창고등학교,b5acf74d-9fab-4a6e-b44c-4dc74da1c4fc,J100000769,04,경기도,구리시,4100000000,4131000000,공립,경기도 구리시 인창동
서울삼육고등학교,0ed77608-2942-4f21-ad79-00b8c5409892,J100000606,04,경기도,구리시,4100000000,4131000000,사립,경기도 구리시 교문동
구리고등학교,8a9eb53c-7019-47bd-a841-154077ada221,J100000496,04,경기도,구리시,4100000000,4131000000,공립,경기도 구리시 수택동
수택고등학교,8552d980-7cda-45c5-90b7-610688eca0c8,J100000656,04,경기도,구리시,4100000000,4131000000,공립,경기도 구리시 수택동
금곡고등학교,61ecc0e8-bc4b-4bb6-9220-b72952039a84,J100000508,04,경기도,남양주시,4100000000,4136000000,공립,경기도 남양주시 금곡동
보라고등학교,499aa21f-2d59-4154-b01a-5cbfbb6bcb5a,J100005656,04,경기도,용인시 기흥구,4100000000,4146000000,공립,경기도 용인시 기흥구 보라동
대지고등학교,3515b280-22fd-4371-b105-999760a53e44,J100005458,04,경기도,용인시 수지구,4100000000,4146000000,공립,경기도 용인시 수지구 죽전동
죽전고등학교,d16c2695-b72c-4a90-ac03-a853b247b347,J100000801,04,경기도,용인시 수지구,4100000000,4146000000,공립,경기도 용인시 수지구 죽전동
