shl_idf_cd,school,sido,gugun,type,subject
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,융합,역사로 탐구하는 현대 세계
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,심화 영어 독해와 작문
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,융합,기후변화와 환경생태
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,동아시아 역사 기행
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,융합,독서 토론과 글쓰기
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,융합,과학의 역사와 문화
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,화학 반응의 세계
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,일반,영어 독해와 작문
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,미술 감상과 비평
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,영어 발표와 토론
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,융합,실생활 영어 회화
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,도시의 미래 탐구
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,음악 연주와 창작
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,세포와 물질대사
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,일반,세계시민과 지리
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,진로,주제 탐구 독서
50fb771b-1499-4f59-8a6a-dc460776768b,가곡고등학교,강원특별자치도,삼척시,일반,현대사회와 윤리
