shl_idf_cd,school,sido,gugun,years,type,subject
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,과학의 역사와 문화
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,금융과 경제생활
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,기후변화와 지속가능한 세계
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,기후변화와 환경생태
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,논술
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,독서 토론과 글쓰기
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,미디어 영어
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,미술과 매체
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,사회문제 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,세계 문화와 영어
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,소프트웨어와 생활
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,수학과 문화
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,언어생활 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,여행지리
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,역사로 탐구하는 현대 세계
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,윤리문제 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,융합,융합과학 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,경제
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,경제 수학
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,기하
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,도시의 미래 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,동아시아 역사 기행
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,문학과 영상
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,물질과 에너지
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,미술 감상과 비평
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,미술 창작
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,미적분II
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,법과 사회
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,보건
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,생물의 유전
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,세포와 물질대사
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,심화 영어
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,심화 영어 독해와 작문
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,역학과 에너지
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,연기
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,윤리와 사상
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,음악 감상과 비평
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,음악 연주와 창작
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,인공지능 기초
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,인공지능 수학
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,인문학과 윤리
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,전자기와 양자
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,정치
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,주제 탐구 독서
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,한국지리 탐구
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,행성우주과학
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,진로,화학 반응의 세계
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,기술·가정
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,대수
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,독서와 작문
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,문학
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,물리학
b7fad1a0-bf2f-4b77-b5c8-13284c68d5e0,화정고등학교,경기도,고양시 덕양구,2025,일반,미술
